iter	Passed	Remaining
0	0	60
1	1	54
2	1	51
3	2	49
4	2	47
5	2	46
6	3	45
7	3	44
8	4	44
9	4	43
10	5	42
11	5	42
12	6	42
13	6	41
14	7	41
15	7	40
16	8	40
17	8	40
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	25	24
51	26	24
52	27	23
53	27	23
54	28	22
55	28	22
56	29	21
57	29	21
58	30	20
59	30	20
60	31	19
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	50	1
97	50	1
98	51	0
99	51	0
